Chainage, Elevation
1000.668859,-5.380000114
1001.919695,-5.369999886
1003.170531,-5.320000172
1004.421367,-5.380000114
1005.672203,-5.380000114
1006.923039,-5.480000019
1008.173875,-5.53000021
1009.424711,-5.460000038
1010.675547,-5.429999828
1011.926383,-5.449999809
1013.17722,-5.449999809
1014.428056,-5.420000076
1015.678892,-5.369999886
1016.929728,-5.389999866
1018.180564,-5.420000076
1019.4314,-5.329999924
1020.682236,-5.239999771
1021.933072,-5.090000153
1023.183908,-4.929999828
1024.434744,-4.840000153
1025.68558,-4.650000095
1026.936416,-4.449999809
1028.187252,-3.980000019
1029.438088,-3.650000095
1030.688925,-3.440000057
1031.939761,-3.309999943
1033.190597,-2.849999905
1034.441433,-2.299999952
1035.692269,-2.130000114
1036.943105,-1.950000048
1038.193941,-1.809999943
1039.444777,-1.710000038
1040.695613,-1.659999967
1041.946449,-1.700000048
1043.197285,-1.460000038
1044.448121,-1.350000024
1045.698957,-1.220000029
1046.949794,-1.00999999
1048.20063,-0.8399999738
1049.451466,-0.7099999785
1050.702302,-0.6000000238
1051.953138,-0.4799999893
1053.203974,-0.349999994
1054.45481,-0.2099999934
1055.705646,-0.150000006
1056.956482,-0.05000000075
1058.207318,0.1199999973
1059.458154,0.2300000042
1060.70899,0.3400000036
1061.959826,0.4900000095
1063.210662,0.6399999857
1064.461499,0.8199999928
1065.712335,0.9399999976
1066.963171,1.120000005
1068.214007,1.309999943
1069.464843,1.480000019
1070.715679,1.590000033
1071.966515,1.75999999
1073.217351,1.919999957
1074.468187,2.079999924
1075.719023,2.180000067
1076.969859,2.329999924
1078.220695,2.450000048
1079.471531,2.589999914
1080.722367,2.680000067
1081.973204,2.809999943
1083.22404,2.930000067
1084.474876,3.079999924
1085.725712,3.180000067
1086.976548,3.329999924
1088.227384,3.480000019
1089.47822,3.609999895
1090.729056,3.700000048
1091.979892,3.789999962
1093.230728,3.940000057
1094.481564,4.039999962
1095.7324,4.090000153
1096.983236,4.179999828
1098.234073,4.260000229
1099.484909,4.360000134
1100.735745,4.409999847
1101.986581,4.489999771
1103.237417,4.590000153
1104.488253,4.670000076
1105.739089,4.71999979
1106.989925,4.820000172
1108.240761,4.949999809
1109.491597,5.070000172
1110.742433,5.159999847
1111.993269,5.360000134
1113.244105,5.650000095
1114.494941,6.079999924
1115.745778,6.309999943
1116.996614,6.809999943
1118.24745,7.300000191
1119.498286,7.739999771
1120.749122,8.050000191
1121.999958,8.340000153
1123.250794,8.390000343
1124.50163,8.369999886
1125.752466,8.329999924
1127.003302,8.279999733
1128.254138,8.18999958
1129.504974,8.100000381
1130.75581,8.090000153
1132.006647,7.900000095
1133.257483,7.809999943
1134.508319,7.760000229
1135.759155,7.71999979
1137.009991,7.639999866
1138.260827,7.590000153
1139.511663,7.53000021
1140.762499,7.480000019
1142.013335,7.409999847
1143.264171,7.349999905
1144.515007,7.269999981
1145.765843,7.21999979
1147.016679,7.130000114
1148.267515,7.039999962
1149.518352,6.960000038
1150.769188,6.909999847
1152.020024,6.820000172
1153.27086,6.760000229
1154.521696,6.699999809
